60-001	ul. Ceglana
60-001	ul. Ceramiczna
60-001	ul. Gliniana
60-001	ul. Rudnicza
60-001	ul. Wykopy
60-002	ul. Cedzyńska
60-002	ul. Kowalewicka
60-002	ul. Pobielska
60-002	ul. Radyńska
60-002	ul. Wojnowicka
60-003	ul. Krzeszowicka
60-003	ul. Sycowska
60-003	ul. Trzebińska
60-003	ul. Wołczyńska
60-004	ul. Głogowska
60-005	ul. Fabianowo
60-008	ul. Glinianki
60-008	ul. Gruntowa
60-008	ul. Mieleszyńska
60-008	ul. Otwarta
60-008	ul. Stara Cegielnia
60-008	ul. Tyniecka
60-008	ul. Zamiejska
60-009	ul. Kotowo
60-012	ul. Lwówecka
60-012	ul. Opłotki
60-012	ul. Sąsiedzka
60-012	ul. Uradzka
60-012	ul. Ustronna
60-013	ul. Rojna
60-013	ul. Ruczajowa
60-101	ul. Będlewska
60-101	ul. Chomęcicka
60-101	ul. Głuchowska
60-101	ul. Granowska
60-101	ul. Komornicka
60-101	ul. Konarzewska
60-101	ul. Ptaszkowska
60-102	ul. Mikołowska
60-102	ul. Ostatnia
60-102	ul. Pszczyńska
60-103	ul. Bohaterów Westerplatte
60-103	ul. Gostyńska
60-103	ul. Kościańska
60-103	ul. Leszczyńska
60-103	ul. Osiecka
60-104	ul. Boczna
60-104	ul. Głogowska
60-104	ul. Hallera Józefa
60-105	ul. Kopanina
60-106	ul. Gęsia
60-106	ul. Giżycka
60-106	ul. Kacza
60-106	ul. Odległa
60-107	ul. Górnicza
60-108	ul. Milicka
60-111	ul. Czempińska
60-111	ul. Głogowska
60-111	ul. Karpicka
60-111	ul. Rakoniewicka
60-112	ul. Kościańska
60-113	ul. Bojanowska
60-113	ul. Piargowa
60-114	ul. Krzywińska
60-114	ul. Obrzańska
60-115	ul. Bohaterów Westerplatte
60-115	ul. Jaskiniowa
60-115	ul. Kępińska
60-115	ul. Leszczyńska
60-115	ul. Na Uboczu
60-115	ul. Poniecka
60-115	ul. Przełęcz
60-116	ul. Czechosłowacka
60-116	ul. Głazowa
60-116	ul. Graniowa
60-118	ul. Krzywa
60-118	ul. Metalowa
60-118	ul. Miedziana
60-119	ul. Andrzejewskiego Antoniego
60-121	ul. Głogowska
60-122	ul. Ostrobramska
