"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"1","2","3",,,"4","5"
"1","*** bez nazwy ***","PW","G","679","224","5362"
"2","*** bez nazwy ***","PW","N","145","284","2065"
"3","*** bez nazwy ***","PW","G","680","282","6464"
"4","*** bez nazwy ***","PG","N","145","845","6989"
"5","28 Czerwca 1956 r.","PW","P","15015","1127","11836"
"6","28 Czerwca 1956 r.","PW","G","164","2964","26187"
"7","28 Czerwca 1956 r.","PW","W","430002","271","5002"
"8","Arciszewskiego Krzysztofa","PG","G","5013","950","20561"
"9","Armii Poznań aleja","PS","P","2002","1657","13188"
"10","Bałtycka","PN","K","92004","163","2571"
"11","Bałtycka","PN","K","92005","3313","60957"
"12","Bałtycka","PN","K","92006","2577","55829"
"13","Baraniaka Antoniego abpa","PN","P","672","2183","37521"
"14","Bełchatowska","PG","P","22","295","1341"
"15","Berdychowo","PN","P","24","184","1538"
"16","Biskupińska","PJ","P","5005","1840","12496"
"17","Bobrzańska","PN","P","37","906","10468"
"18","Bohaterów Westerplatte","PW","G","38","835","9286"
"19","Borówki","PN","P","7007","1563","9987"
"20","Browarna","PN","P","8008","2024","14674"
"21","Brzechwy Jana","PG","G","23","1139","8723"
"22","Bukowska","PJ","P","134134","1646","17978"
"23","Bukowska","PJ","W","307017","6200","109852"
"24","Bułgarska","PG","P","9009","2019","40820"
"25","Chartowo","PN","P","41041","1559","24415"
"26","Chojnicka","PJ","P","11011","2010","12470"
"27","Czechosłowacka","PW","P","12012","2328","19752"
"28","Czechosłowacka","PG","P","12012","338","4597"
"29","Czekalskie","PN","P","13013","817","5997"
"30","Czernichowska","PN","P","14014","1361","9114"
"31","Darzyborska","PN","P","18018","53","712"
"32","Dąbrowskiego Jana Henryka","PJ","K","92001","3290","105618"
"33","Dąbrowskiego Jana Henryka","PJ","P","19019","5228","92898"
"34","Dmowskiego Romana","PG","G","52","242","1475"
"35","Dojazd","PJ","P","20020","1443","10012"
"36","Dolna Wilda","PW","P","21021","1853","16667"
"37","Dolna Wilda","PW","W","430023","3052","32104"
"38","droga 184","PJ","W","184001","1467","9196"
"39","Droga Dębińska","PW","P","3003","2711","21928"
"40","Druskienicka","PJ","P","22022","1032","9119"
"41","Dymka Walentego abpa","PN","P","673","2504","26876"
"42","Estkowskiego Ewarysta","PS","P","83","437","6117"
"43","Fabianowo","PG","P","23023","1090","10161"
"44","Forteczna","PN","P","24024","1143","7648"
"45","Garaszewo","PN","P","50","356","3448"
"46","Garbary","PS","P","26026","2061","33888"
"47","Gąsiorowskich","PG","G","53","210","1512"
"48","Gdyńska","PN","W","196003","1560","10597"
"49","Gdyńska","PN","G","53","373","3159"
"50","Giżycka","PG","G","55","324","2238"
"51","Głogowska","PG","P","27027","1993","41749"
"52","Głogowska","PG","G","5015","5568","126084"
"53","Główna","PN","G","5005","1309","14715"
"54","Głuszyna","PN","P","28028","5232","35515"
"55","Gnieźnieńska","PN","G","5006","2380","18599"
"56","Golęcińska","PJ","G","60","330","1824"
"57","Golęcińska","PJ","G","454","263","1827"
"58","Golęcińska","PJ","P","29029","761","5002"
"59","Gospodarska","PN","P","30030","475","2864"
"60","Górecka","PG","P","31031","1193","11828"
"61","Górecka","PW","P","31031","628","4793"
"62","Górna Wilda","PW","P","32032","668","7303"
"63","Grochowska","PG","P","33033","2205","35440"
"64","Grunwaldzka","PG","P","35035","6633","98143"
"65","Hetmańska","PG","K","11009","1623","38874"
"66","Hetmańska","PW","K","11010","2070","47771"
"67","Hetmańska","PN","K","11011","576","4111"
"68","Hetmańska","PN","P","37037","837","8692"
"69","Inflancka","PN","P","38038","2110","26066"
"70","Jana Pawła II","PN","G","5006","1720","28682"
"71","Jarochowskiego Kazimierza","PG","G","78","945","7781"
"72","Jaroczyńskiego Mariana","PS","P","39039","638","5635"
"73","Jaśkowiaka Franciszka","PS","P","129","2243","13283"
"74","Jawornicka","PG","P","40040","794","6328"
"75","Jesionowa","PW","P","42042","389","2975"
"76","Jeżycka","PJ","G","132","558","3837"
"77","Jugosłowiańska","PG","P","43043","1119","11630"
"78","Juraszów","PJ","P","136","491","3744"
"79","Kaponiera rondo","PS","P","71","115","13658"
"80","Kasprzaka Marcina","PG","P","44044","691","5729"
"81","Kazimierza Wielkiego","PS","P","45045","389","3579"
"82","Kierska","PJ","P","149","422","2597"
"83","Kobylepole","PN","P","46046","1173","7520"
"84","Kolejowa","PG","G","104","1359","13259"
"85","Kopanina","PG","P","156","1086","7450"
"86","Kosowska","PJ","G","94","163","1391"
"87","Koszalińska","PJ","P","48048","7163","47404"
"88","Kościelna","PJ","P","49049","711","9421"
"89","Kotowo","PG","P","50050","887","6398"
"90","Kórnicka","PN","P","51051","614","9569"
"91","Krańcowa","PN","P","52052","1911","13736"
"92","Kraszewskiego Józefa","PJ","P","53053","539","6184"
"93","Krauthofera Jakuba","PG","P","54054","713","6822"
"94","Krośnieńska","PG","P","55055","622","2856"
"95","Królowej Jadwigi","PS","P","59059","1502","30574"
"96","Krzesiny","PN","G","111","208","2061"
"97","Krzywoustego Bolesława","PN","S","11","985","20883"
"98","Krzywoustego Bolesława","PN","P","56056","694","10758"
"99","Krzywoustego Bolesława","PN","K","11015","6259","162827"
"100","Książęca","PN","P","57057","276","2778"
"101","Księcia Mieszka I","PS","P","659","1518","24259"
"102","Księcia Mieszka I","PS","P","102102","1979","45967"
"103","Kurlandzka","PN","P","58058","4160","44188"
"104","Kurpińskiego Karola","PS","G","82","791","4965"
"105","Kutrzeby Tadeusza gen.","PS","G","83","353","3023"
"106","Lechicka","PS","K","92003","4312","74346"
"107","Leszczyńska","PW","P","61061","2626","19632"
"108","Leśnych Skrzatów","PG","G","127","726","6704"
"109","Libelta Karola","PS","P","63063","221","2327"
"110","Literacka","PJ","G","516","1657","16947"
