"WYKAZ ULIC UKŁADU UZUPEŁNIAJĄCEGO",,,,,,
"Lp.","Ulica","dzielnica","kategoria","Długość [m]","Przebieg od","Przebieg do"
"1","2","3",,"4",,
"1","*** bez nazwy ***","Grunwald","gminna","356","Kopciuszka","Jana Maklakiewicza"
"2","*** bez nazwy ***","Jeżyce","gminna","241","Biskupińska","lasy komunalne"
"3","*** bez nazwy ***","Jeżyce","gminna","32","Grochowska ","Świt"
"4","*** bez nazwy ***","Jeżyce","gminna","117","Prymasa Augusta Hlonda","Św.Wincentego"
"5","*** bez nazwy ***","Jeżyce","gminna","66","Melchiora Wańkowicza","Tadeusza Boya-Żeleńskiego"
"6","23 Lutego","Stare Miasto","gminna","420",,
"7","27 Grudnia","Stare Miasto","powiatowa","162",,
"8","5 Stycznia","Jeżyce","gminna","1759",,
"9","9 Maja","Stare Miasto","droga wewnętrzna","844",,
"10","Abrahama Romana","Stare Miasto","gminna","163",,
"11","Adamanisa Franciszka","Grunwald","gminna","126",,
"12","Admiralska","Jeżyce","gminna","997",,
"13","Agatowa","Stare Miasto","droga wewnętrzna","100",,
"14","Agrestowa","Nowe Miasto","gminna","474",,
"15","Ajdukiewicza Kazimierza","Stare Miasto","droga wewnętrzna","195",,
"16","Ajschylosa","Jeżyce","gminna","203",,
"17","Akacjowa","Wilda","gminna","158",,
"18","Albańska","Grunwald","gminna","392",,
"19","Altanowa","Jeżyce","gminna","373",,
"20","Altera Franciszka","Stare Miasto","gminna","73",,
"21","Alzacka","Stare Miasto","droga wewnętrzna","198",,
"22","Ametystowa","Stare Miasto","gminna","173",,
"23","Ananasowa","Stare Miasto","droga wewnętrzna","85",,
"24","Andaluzyjska","Stare Miasto","droga wewnętrzna","208",,
"25","Andersa Władysława plac","Stare Miasto","droga wewnętrzna","66",,
"26","Andersena Christiana","Grunwald","gminna","797",,
"27","Andrychowska","Nowe Miasto","gminna","1048",,
"28","Andrzejewskiego Antoniego","Grunwald","gminna","436",,
"29","Anyżowa","Stare Miasto","gminna","248",,
"30","Aragońska","Stare Miasto","droga wewnętrzna","215",,
"31","Architektów","Jeżyce","gminna","296",,
"32","Arcta Bohdana","Jeżyce","gminna","134",,
"33","Arctowskiego Henryka","Nowe Miasto","droga wewnętrzna","98",,
"34","Arkońska","Nowe Miasto","gminna","731",,
"35","Armeńska","Stare Miasto","droga wewnętrzna","405",,
"36","Armii Ludowej","Stare Miasto","gminna","123",,
"37","Aroniowa","Nowe Miasto","gminna","508",,
"38","Arystofanesa","Jeżyce","gminna","263",,
"39","Asnyka Adama","Jeżyce","gminna","126",,
"40","Asnyka Adama plac","Jeżyce","gminna","94",,
"41","Astrowa","Grunwald","gminna","267",,
"42","Augustowska","Nowe Miasto","gminna","280",,
"43","Azaliowa","Wilda","droga wewnętrzna","147",,
"44","Babicka","Nowe Miasto","gminna","947",,
"45","Babimojska","Grunwald","gminna","595",,
"46","Baczyńskiego Krzysztofa Kamila","Grunwald","gminna","96",,
"47","Bajana Jerzego","Jeżyce","gminna","124",,
"48","Balickiego Stefana","Grunwald","gminna","49",,
"49","Ballenstedta Lucjana","Stare Miasto","droga wewnętrzna","109",,
"50","Balonowa","Jeżyce","gminna","115",,
"51","Bałuckiego Michała","Jeżyce","droga wewnętrzna","135",,
"52","Bananowa","Stare Miasto","gminna","89",,
"53","Barana","Nowe Miasto","droga wewnętrzna","296",,
"54","Baranowska","Nowe Miasto","gminna","601",,
"55","Barcińska","Nowe Miasto","gminna","80",,
"56","Barczewska","Jeżyce","gminna","111",,
"57","Barlinecka","Grunwald","droga wewnętrzna","175",,
"58","Barska","Wilda","gminna","110",,
"59","Bartnicza","Nowe Miasto","gminna","255",,
"60","Bartoszycka","Jeżyce","gminna","261",,
"61","Barwicka","Grunwald","gminna","283",,
"62","Barzyńskiego Michała","Jeżyce","gminna","139",,
"63","Bastionowa","Stare Miasto","gminna","245",,
"64","Baśniowa","Grunwald","gminna","232",,
"65","Batalionów Chłopskich","Stare Miasto","gminna","159",,
"66","Bazyliowa","Stare Miasto","droga wewnętrzna","71",,
"67","Bąka Wojciecha","Grunwald","gminna","189",,
"68","Bednarska","Jeżyce","gminna","236",,
"69","Begoniowa","Grunwald","gminna","136",,
"70","Belwederska","Grunwald","gminna","363",,
"71","Bełchatowska","Grunwald","droga wewnętrzna","515","Jawornicka","Krośnienska"
"72","Bełzy Władysława","Grunwald","gminna","73",,
"73","Berdychowo","Nowe Miasto","powiatowa","151"," "," "
"74","Berestecka","Grunwald","gminna","135",,
"75","Bergera Gothilfa","Wilda","gminna","187",,
"76","Berlinga Zygmunta","Stare Miasto","gminna","86",,
"77","Bernardyński plac","Stare Miasto","gminna","104",,
"78","Berwińskiego Ryszarda","Grunwald","gminna","93",,
"79","Berylowa","Stare Miasto","droga wewnętrzna","102",,
"80","Beskidzka","Jeżyce","gminna","3253",,
"81","Będlewska","Grunwald","gminna","59",,
"82","Będzińska","Wilda","gminna","83",,
"83","Biała","Grunwald","gminna","103",,
