"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"1","2","3",,,"4","5"
"1","*** bez nazwy ***","PG","G","46","81","187"
"2","*** bez nazwy ***","PG","G","155","356","2075"
"3","*** bez nazwy ***","PJ","G","546","117","1018"
"4","*** bez nazwy ***","PJ","G","545","66","206"
"5","*** bez nazwy ***","PJ","G","156","241","752"
"6","*** bez nazwy ***","PW","G","678","383","4015"
"7","*** bez nazwy ***","PW","G","680","145","688"
"8","23 Lutego","PS","G","195","420","4730"
"9","27 Grudnia","PS","P","34034","282","3591"
"10","3 Maja","PS","P","66066","128","2011"
"11","5 Stycznia","PJ","G","224","1759","6382"
"12","9 Maja","PS","F","211","844","5449"
"13","Abrahama Romana","PS","G","461","163","860"
"14","Adamanisa Franciszka","PG","G","1","126","726"
"15","Admiralska","PJ","G","2","997","4213"
"16","Agatowa","PS","F","3","100","442"
"17","Agrestowa","PN","G","1","474","2455"
"18","Ajdukiewicza Kazimierza","PS","F","555","195","1164"
"19","Ajschylosa","PJ","G","526","203","1379"
"20","Akacjowa","PW","G","1","158","699"
"21","Albańska","PG","G","1","392","3098"
"22","Altanowa","PJ","G","4","371","1569"
"23","Altera Franciszka","PS","G","462","73","354"
"24","Alzacka","PS","F","199","203","735"
"25","Ametystowa","PS","G","5","173","775"
"26","Ananasowa","PS","F","545","85",
"27","Andaluzyjska","PS","F","199","212","878"
"28","Andersa Władysława plac","PS","F","283","66",
"29","Andersena Christiana","PG","G","2","797","4211"
"30","Andrychowska","PN","G","2","1047","5148"
"31","Andrzejewskiego Antoniego","PG","G","3","436","1769"
"32","Anyżowa","PS","G","201","248","913"
"33","Aragońska","PS","F","199","212","685"
"34","Architektów","PJ","G","1","296","2265"
"35","Arcta Bohdana","PJ","G","6","134","860"
"36","Arctowskiego Henryka","PN","F","463","98","527"
"37","Arkońska","PN","G","3","731","2852"
"38","Armeńska","PS","F","7","405","2014"
"39","Armii Ludowej","PS","G","9","123","674"
"40","Arnikowa","PS","F","522","553","2205"
"41","Aroniowa","PN","G","650","508","1289"
"42","Arystofanesa","PJ","G","524","263","1842"
"43","Asnyka Adama","PJ","G","2","126","779"
"44","Asnyka Adama plac","PJ","G","3","94","389"
"45","Astrowa","PG","G","10","267","1610"
"46","Augustowska","PN","G","4","280","1844"
"47","Azaliowa","PW","F","11","147","522"
"48","Babicka","PN","G","5","947","4977"
"49","Babimojska","PG","G","12","586","3874"
"50","Baczyńskiego Krzysztofa Kamila","PG","G","4","96","544"
"51","Bajana Jerzego","PJ","G","13","124","816"
"52","Balickiego Stefana","PG","G","14","49","233"
"53","Ballenstedta Lucjana","PS","F","578","109","743"
"54","Balonowa","PJ","G","4","115","683"
"55","Bałuckiego Michała","PJ","F","404","137","706"
"56","Bananowa","PS","G","549","89","478"
"57","Barana","PN","F","563","296","1799"
"58","Baranowska","PN","G","6","601","3038"
"59","Barcińska","PN","G","15","80","397"
"60","Barczewska","PJ","G","570","111","480"
"61","Barlinecka","PG","F","16","175","615"
"62","Barska","PW","G","3","110","696"
"63","Bartnicza","PN","G","7","255","746"
"64","Bartoszycka","PJ","G","5","261","1040"
