,"ADRES ","OBIEKT ZABYTKOWY","NR REJESTRU","DATA DECYZJI"
"1","STARE MIASTO w obrębie ulic: Garbary, Podgórnej, Al. Marcinkowskiego, Solnej, Małe Garbary","Zespół urbanistyczno-architektoniczny Starego Miasta z budynkami użyteczności publicznej, sakralnymi oraz kamienicami mieszczańskimi","A 225","1979.06.04",,,,,,,"ukł. urb.- arch."
"2","STARY RYNEK","Zespół urbanistyczno-architektoniczny Starego Rynku wraz z kompleksem budynków jak ratusz, odwach, domki budnicze, pałac Działyńskich, kamienice obrzeżne oraz studnia Prozerpiny i figura św.Jana Nepomucena","A 195","1972.11.10",,,,,,,"ukł. urb.- arch., archit."
"3","CENTRUM MIASTA w obrębie ulic: Królowej Jadwigi, Towarowej, Mostu Dworcowego, Roosevelta, Pułaskiego, Armii Poznań, koryta rzeki Warty","Zespół urbanistyczno-architektoniczny centrum miasta z układem ulic i zabudową ","A 231 ","1980.03.14",,,,,,,"ukł. urb.- arch."
"4","OSTRÓW TUMSKI, ŚRÓDKA, STARE MIASTO, ŁAZARZ, WILDA, OSTRORÓG, SOŁACZ objęte ulicami: Hetmańską (od  płd.), Grochowską, Marcelińską, Przybyszewskiego, Żeromskiego, Niestachowską (od zach.), Wojska Polskiego, Nad Wierzbakiem (od płn.), rzeką Wartą (od wsch.) oraz tereny za Wartą między ulicami Św. Wincentego, Podwale i Cybińską","Zespoły urbanistyczno-architektoniczne kolebki miasta, najstarszego przedmieścia i najstarszych  dzielnic XIX-wiecznego Poznania z budynkami użyteczności publicznej, sakralnymi, założeniami parkowymi i willowymi, zabytkami architektury przemysłowej i kamienicami. ","A 239","1982.10.06",,,,,,,"ukł. urb.- arch."
"5","Al. NIEPODLEGŁOŚCI - ul. KRÓLOWEJ JADWIGI  z terenami pomiędzy ul. Kościuszki - Krakowską  oraz Niedziałkowskiego, Topolową, Towarową, Skośną i torami kolejowymi","Założenie urbanistyczno-architektoniczne Ringu poznańskiego (w miejscu rozebranych fortyfikacji pruskich) obejmujący pierścień pomenad nowej obwodnicy i starej ulicy wałowej, z forum reprezentacyjnym (Zamek, Bank, Filharmonia, Dyrekcja Poczty, Teatr Wielki, Collegium Maius, Collegium Minus, Collegium Iuridicum, Akademia Muzyczna), gmachami użyteczności publicznej i terenami zielonymi (ob. parki: Lubuski, Marcinkowskiego, Mickiewicza, Wieniawskiego, Moniuszki) oraz pozostałościami fortyfikacji (wału czołowego fortu Grollmana i kazamatów fortu Colomba przy ul. Towarowej i Powstańców Wlkp.)","A 274","1985.01.03",,,,,,,"ukł. urb.- arch., parki"
"6","kwartał ulic: MATEJKI - Ułańska - Wyspiańskiego - Grottgera","Założenie urbanistyczno-architektoniczne Maxa Johowa  wraz z zespołem budowlanym","A 368","1991.11.29",,,,,,,"ukł. urb.- arch., park"
"7","kwartał ulic: ROOSEVELTA 3,4,5,6/7,8,9/10, Krasińskiego 3,3a,4,4a, Zacisze 4,4a","Zespół kamienic secesyjnych","A 230","1980.03.14",,"12 domów wg ODZ",,,,,"ukł. urb.- arch."
"8","SOŁACZ i Al. Wielkopolska","Dzielnica  willowa z domami i ogrodami, Park Sołacki ze stawem i  restauracją, aleja kasztanowców","A 244","1983.01.19",,,,,,,"archit."
"9","ciąg: ul. Ludgardy (mur) - zachodnia ściana kaplicy kościoła Franciszkanów (mur) - węzeł Bramy Wronieckiej (relikty wieży, mur) i ul. Wroniecka 10 (mur)  - ul. Masztalarska/23 Lutego (dwie baszty, mur) - ul. Masztalarska 5 (baszta) - ul. Masztalarska (dwa ciągi murów) - ul. Masztalarska (baszta rozebrana) - ul. Podgórna 12 (fundamenty baszty) - ul. Wrocławska 15 (mur) - podziemia kościoła farnego i krużganek kolegium jezuickiego (mury) - pl. Kolegiacki 12 (mur)","Pozostałości średniowiecznych murów miejskich wewnętrznego i zewnętrznego pierścienia obwarowań miasta z fragmentami baszt i Bramy Wronieckiej","A 250","1984.07.13","A1-4",,,,,,"archit. milit."
"10","wokół miasta po obu stronach Warty: I.Röder - Starołęka, Ia.Boyen - Żegrze, II.Stülpnagel - Chartowo, IIa.Thümen - Łączny Młyn, III.Graf Kirchbach - Główieniec, IIIa.Prittwitz nowy - Miłostowo, IV.Hake - Główna, IVa.Waldersee II - Wilczy Młyn, V.Waldersee I - ul. Lechicka, Va.Bonin - ul. Szanieckiego, VI.Tietzen - Podolany, VIa.Stockhausen - Golęcin, VII.Colomb - Jeżyce, VIIa.Strotha - Marcelin, VIII.Grolman nowy - ul. Bolkowicka, VIIIa.Rohr - Raszyn, IX.Brünneck - Górczyn, IXa.Witzleben - Dębiec","Pozostałości fortyfikacji pruskich z końca XIX w. obejmujące  pierścień 18 fortów zewnętrznych z wszystkimii elementami twierdzy fortowej, takimi jak profile ziemne, schrony, pasy zieleni ochronnej itp. rozmieszczone w rejonach fortecznych","A 245","1983.05.25","A180 FortVII",,,,,,"archit. milit."
,"Armii Poznań ul.","Cytadela z parkiem i cmentarzami","A 006","1966.04.16"
,"Berwińskiego ul. 2/4","Szkoła powszechna","A 222","1979.05.23"
,"Berwińskiego ul. 5","Willa","A 219","1979.04.25"
,"Biskupińska ul. / Koszalińska ","Cmentarzysko okresu wczesnolateńskiego","A 185","1971.12.01"
,"Bluszczowa ul.","Cmentarz paraf. Bożego Ciała","A 236","1984.02.09"
,"Bukowska ul.   16","Gimnazjum Augusty Wiktorii, ob. I LO","A 291","1986.09.09"
,"Bukowska ul. 237, 248/254","Folwark Edwardowo - dwór, park, czworaki","A 393","1992.12.05"
,"Bydgoska ul. 4 a","Zakład dla Głuchoniemych","A 011","1966.04.16"
,"Bydgoska ul. 4 a","Kościół Reformatów pw. św. Kazimierza","A 155","1931.02.26"
,"Bydgoska ul. 4 a","Klasztor Reformatów","A 156","1960.02.20"
,"Cegielskiego ul. 1/ Marii Magdaleny 12","Szkoła powszechna","A 256","1984.10.20"
,"Chełmońskiego ul. 22","Kamienica","A 340","1991.10.25"
,"Chlebowa ul. 4/8","Fabryka PEBEKO","A 307","1987.04.10"
,"Chojnicka ul. 41","Kościół paraf. pw. św. Michała Archanioła w Kiekrzu","2473/A","1936.05.20"
,"Chwaliszewo ul. 64","Kamienica z oficyną","A 449","1996.05.27"
,"Chyby, ul. Szkolna","Kaplica św. Stanisława Bpa "," 1201/A","1970.09.02"
,"Chyby, ul. Szkolna","Dwór w Chybach"," 1202/A","1970.09.20"
,"Chyby, ul. Szkolna","Park przy dworze w Chybach"," 2147/A","1988.04.14"
,"Cicha ul.","Wiadukt kolejowy","A 301","1987.04.06"
,"Czarnieckiego  ul. 5","Budynek Fundacji Bergera, ob. PP","A 428","1993.11.04"
,"Czerwca 28 ul. 135/147","Ogród z aleją platanów","A 027","1966.04.16"
,"Czerwca 28 ul. 135/147","Klasztor i Szkoła Sacré Coeur, ob. szpital","A 202","1978.11.07"
,"Czerwca 28 ul. 216","Stacja transformatorowa","A 480","2003.03.10"
,"Czerwca 28 ul. 328","Kościół paraf. pw. św.Trójcy","A 273","1984.12.06"
,"Dąbrowskiego ul.    5","Kamienica z teatrem","A 423","1993.08.10"
,"Dąbrowskiego ul.  12","Zakład Ubezpieczeń Pracowników Umysłowych, ob. ZUS","A 308","1987.04.10"
,"Dąbrowskiego ul.  17","Izba Rolnicza, ob. biura","A 470","2002.12.30"
,"Dąbrowskiego ul.  23 / Kochanowskiego 6","Kamienica ","A 432","1993.12.10"
,"Dąbrowskiego ul.  25","Kamienica","A 337","1991.09.25"
,"Dąbrowskiego ul.  35/37","Kamienica","A 338","1991.10.22"
,"Dąbrowskiego ul.  39 / Strzałkowskiego 1","Kamienica","A 333","1991.11.26"
,"Dąbrowskiego ul.  42","Kamienica ","A 465","2001.06.02"
,"Dąbrowskiego ul.  77","Willa z ogrodem","A 313","1989.01.11"
,"Dąbrowskiego ul.  86","Kamienica","A 415","1993.06.08"
,"Dąbrowskiego ul. 165","Ogród Botaniczny","A 196","1975.01.08"
,"Dąbrówki ul. 4","Kościół paraf. pw. Zmartwychwstania Pańskiego","A 298","1992.02.21"
,"Długa ul. 1/2","Klasztor Bernardynek, ob. szpital","A 158","1966.04.25"
,"Długa ul. 1/2 / Bernardyński pl.","Kościół Bernardynek  pw. Przemienienia Pańskiego","A 157","1931.02.26"
,"Dolna Wilda ul. 87","Elektrownia Wildecka","A 438","1996.01.23"
,"Dominikańska ul. 2","Dom mieszkalny","A 029","1958.04.11"
,"Dominikańska ul. 3","Dom mieszkalny","A 030","1958.04.11"
